ID,Address,Baths,Beds,BuiltInYear,DateOfSale,IsAStudio,LotSize,LotSizeUnit,SalePrice,Size
15125969,"2771 38th Ave, San Francisco, CA",2.0,3.0,1948.0,12/15/15,0.0,3001.0,sqft,1.18,1655.0
15125969,"2771 38th Ave, San Francisco, CA",2.0,3.0,1948.0,12/15/15,0.0,3001.0,,1.18,1655.0
15125990,"2754 39th Ave, San Francisco, CA",2.0,3.0,1948.0,12/9/15,0.0,3000.0,,0.985,1350.0
15125990,"2754 39th Ave, San Francisco, CA",2.0,3.0,1948.0,12/9/15,0.0,3000.0,sqft,0.985,1350.0
15126467,"130 Vale Ave, San Francisco, CA",1.5,3.0,1939.0,12/15/15,0.0,4199.0,,1.11,1272.0
15126467,"130 Vale Ave, San Francisco, CA",1.5,3.0,1939.0,12/15/15,0.0,4199.0,sqft,1.11,1272.0
15127090,"262 Castro St, San Francisco, CA",2.0,2.0,1906.0,11/20/15,0.0,3358.0,,1.7,848.0
15127090,"262 Castro St, San Francisco, CA",2.0,2.0,1906.0,11/20/15,0.0,3358.0,sqft,1.7,848.0
15127170,"1554 Masonic Ave, San Francisco, CA",2.0,3.0,1910.0,12/11/15,0.0,3123.0,sqft,1.86,1540.0
15127170,"1554 Masonic Ave, San Francisco, CA",2.0,3.0,1910.0,12/11/15,0.0,3123.0,,1.86,1540.0
15127261,"38 Levant St, San Francisco, CA",1.5,2.0,1938.0,12/11/15,0.0,3123.0,,1.59,1090.0
15127261,"38 Levant St, San Francisco, CA",1.5,2.0,1938.0,12/11/15,0.0,3123.0,sqft,1.59,1090.0
15127373,"4 Ord Ct, San Francisco, CA",2.0,2.0,1900.0,12/18/15,0.0,1232.0,,1.52,1170.0
15127373,"4 Ord Ct, San Francisco, CA",2.0,2.0,1900.0,12/18/15,0.0,1232.0,sqft,1.52,1170.0
15127442,"300 Castro St, San Francisco, CA",3.0,4.0,1900.0,1/22/16,0.0,4691.0,sqft,2.4,2451.0
15127442,"300 Castro St, San Francisco, CA",3.0,4.0,1900.0,1/22/16,0.0,4691.0,,2.4,2451.0
15128468,"3092 Market St, San Francisco, CA",3.0,3.0,2003.0,12/10/15,0.0,1742.0,sqft,1.88,2115.0
15128468,"3092 Market St, San Francisco, CA",3.0,3.0,2003.0,12/10/15,0.0,1742.0,,1.88,2115.0
15128696,"49 Christopher Dr, San Francisco, CA",2.0,3.0,1961.0,12/22/15,0.0,3088.0,sqft,1.24,1402.0
15128696,"49 Christopher Dr, San Francisco, CA",2.0,3.0,1961.0,12/22/15,0.0,3088.0,,1.24,1402.0
15128931,"39 Warren Dr, San Francisco, CA",3.0,3.0,1959.0,11/12/15,0.0,3301.0,,0.0165,1265.0
15128931,"39 Warren Dr, San Francisco, CA",3.0,3.0,1959.0,11/12/15,0.0,3301.0,sqft,0.0165,1265.0
15129033,"547 Oak Park Dr, San Francisco, CA",2.0,2.0,1962.0,12/30/15,0.0,3624.0,,1.67,1245.0
15129033,"547 Oak Park Dr, San Francisco, CA",2.0,2.0,1962.0,12/30/15,0.0,3624.0,sqft,1.67,1245.0
15129224,"152 Eureka St, San Francisco, CA",2.0,4.0,1932.0,11/20/15,0.0,3049.0,sqft,2.4,2280.0
15129224,"152 Eureka St, San Francisco, CA",2.0,4.0,1932.0,11/20/15,0.0,3049.0,,2.4,2280.0
15129565,"83 Seward St, San Francisco, CA",2.0,3.0,1929.0,12/23/15,0.0,2613.0,sqft,2.1,2650.0
15129565,"83 Seward St, San Francisco, CA",2.0,3.0,1929.0,12/23/15,0.0,2613.0,,2.1,2650.0
15129685,"53 Clarendon Ave, San Francisco, CA",3.0,4.0,1920.0,1/24/16,0.0,4656.0,sqft,3.14,3016.0
15129685,"53 Clarendon Ave, San Francisco, CA",3.0,4.0,1920.0,1/24/16,0.0,4656.0,,3.14,3016.0
15129888,"3358-3360 Market St, San Francisco, CA",3.0,,1906.0,11/12/15,0.0,5488.0,sqft,1.95,3025.0
15129888,"3358-3360 Market St, San Francisco, CA",3.0,,1906.0,11/12/15,0.0,5488.0,,1.95,3025.0
15130317,"350 Eureka St, San Francisco, CA",2.0,4.0,1910.0,12/22/15,0.0,3250.0,sqft,2.4,1720.0
